noise_type,noise_type_name,local_code,local_name,spot_code,spot_name,div_name,legl_sect_code,use_sect_name,tm_loc_x,tm_loc_y,latitude,longitude
EA,환경기준(자동),WJ,강원원주시,A04213001,대륙마트,강원특별자치도 원주시 개운동,가,종합병원지역,106960,526209,37.3304978771,127.9502035506
EA,환경기준(자동),WJ,강원원주시,A04213003,제일주유소,강원특별자치도 원주시 무실동,나,일반주거지역,105106,526729,37.3349972573,127.929216501
EA,환경기준(자동),WJ,강원원주시,A04213004,단구동,강원특별자치도 원주시 명륜동,나,일반주거지역,106518,526059,37.3290992063,127.9452323914
EM,환경기준(수동),WJ,강원원주시,A14213001,저수지입구,강원특별자치도 원주시 태장동,가,녹지지역,108395,530890,37.3728195,127.9658111
EM,환경기준(수동),WJ,강원원주시,A14213003,태장중학교 정문앞,강원특별자치도 원주시 태장동,가,녹지지역,107531,531134,37.3749261,127.9560274
EM,환경기준(수동),WJ,강원원주시,A14213004,마을입구,강원특별자치도 원주시 태장동,가,녹지지역,108485,530627,37.3704593,127.9668646
EM,환경기준(수동),WJ,강원원주시,A14213005,신호등앞,강원특별자치도 원주시 태장동,가,녹지지역,108058,530331,37.3677503,127.9620774
EM,환경기준(수동),WJ,강원원주시,A14213006,내안에병원,강원특별자치도 원주시 개운동,가,종합병원지역,106824,526592,37.3339455,127.9486255
EM,환경기준(수동),WJ,강원원주시,A14213007,김박사정비공업사,강원특별자치도 원주시 개운동,가,종합병원지역,106770,526481,37.3329322,127.9480261
EM,환경기준(수동),WJ,강원원주시,A14213008,놀이터 옆,강원특별자치도 원주시 개운동,가,종합병원지역,106980,526543,37.3335169,127.9503916
EM,환경기준(수동),WJ,강원원주시,A14213009,서원주 농협,강원특별자치도 원주시 개운동,가,종합병원지역,106815,526376,37.331991,127.9485446
EM,환경기준(수동),WJ,강원원주시,A14213010,삼성디지털프라자,강원특별자치도 원주시 개운동,가,종합병원지역,106765,526544,37.3335003,127.9479655
EM,환경기준(수동),WJ,강원원주시,A14213011,치악중학교 입구,강원특별자치도 원주시 단계동,가,학교지역,105225,528806,37.3537235,127.9302964
EM,환경기준(수동),WJ,강원원주시,A14213012,롯데아파트3동앞,강원특별자치도 원주시 단계동,가,학교지역,105099,528623,37.3520676,127.9288991
EM,환경기준(수동),WJ,강원원주시,A14213013,새롬마트앞,강원특별자치도 원주시 단계동,가,학교지역,105326,528691,37.3526963,127.9314575
EM,환경기준(수동),WJ,강원원주시,A14213014,동원타이어,강원특별자치도 원주시 단계동,가,학교지역,105518,528986,37.3553735,127.9335786
EM,환경기준(수동),WJ,강원원주시,A14213015,롯데아파트후문,강원특별자치도 원주시 단계동,가,학교지역,105099,528623,37.3520676,127.9288991
EM,환경기준(수동),WJ,강원원주시,A14213016,청구1차아파트 102동앞 파고라,강원특별자치도 원주시 명륜동,나,일반주거지역,105811,525721,37.3259898,127.9372997
EM,환경기준(수동),WJ,강원원주시,A14213017,청운학원,강원특별자치도 원주시 명륜동,나,일반주거지역,106122,525818,37.3268991,127.9407973
EM,환경기준(수동),WJ,강원원주시,A14213018,서강염소탕,강원특별자치도 원주시 명륜동,나,일반주거지역,106249,525885,37.3275185,127.9422266
EM,환경기준(수동),WJ,강원원주시,A14213019,동보노빌리티 203동앞 도로 소화전,강원특별자치도 원주시 명륜동,나,일반주거지역,106062,525495,37.3239849,127.940163
EM,환경기준(수동),WJ,강원원주시,A14213020,동보노빌리티 206동 앞,강원특별자치도 원주시 명륜동,나,일반주거지역,106062,525495,37.3239849,127.940163
EM,환경기준(수동),WJ,강원원주시,A14213021,주공301동(3단지)옆,강원특별자치도 원주시 무실동,나,일반주거지역,105086,526758,37.3352634,127.9289971
EM,환경기준(수동),WJ,강원원주시,A14213022,주공4단지 406동앞 소공원,강원특별자치도 원주시 무실동,나,일반주거지역,104840,526736,37.3350418,127.9262185
EM,환경기준(수동),WJ,강원원주시,A14213023,주공 102동 옆 공원,강원특별자치도 원주시 무실동,나,일반주거지역,104551,526675,37.3344546,127.9229617
EM,환경기준(수동),WJ,강원원주시,A14213024,주공310동 옆 19번국도변,강원특별자치도 원주시 무실동,나,일반주거지역,104926,526695,37.3346738,127.9271957
EM,환경기준(수동),WJ,강원원주시,A14213025,신협 앞,강원특별자치도 원주시 무실동,나,일반주거지역,104945,526929,37.3367897,127.9273797
EM,환경기준(수동),WJ,강원원주시,A14213026,유림장후문,강원특별자치도 원주시 학성동,다,상업지역,106599,528874,37.3544748,127.9457909
EM,환경기준(수동),WJ,강원원주시,A14213027,중앙동사무소앞,강원특별자치도 원주시 학성동,다,상업지역,106744,528689,37.3528217,127.9474519
EM,환경기준(수동),WJ,강원원주시,A14213029,수노래방 옆,강원특별자치도 원주시 학성동,다,상업지역,106518,528955,37.3551939,127.9448744
EM,환경기준(수동),WJ,강원원주시,A14213030,원주불교사,강원특별자치도 원주시 학성동,다,상업지역,106881,528655,37.35253,127.9490057
EM,환경기준(수동),WJ,강원원주시,A14213032,팡팡노래연습장,강원특별자치도 원주시 단계동,다,상업지역,105366,527951,37.3460337,127.931996
EM,환경기준(수동),WJ,강원원주시,A14213033,연세순풍산부인과 ,강원특별자치도 원주시 단계동,다,상업지역,105205,528007,37.3465256,127.9301739
EM,환경기준(수동),WJ,강원원주시,A14213034,오치드 호텔 앞,강원특별자치도 원주시 단계동,다,상업지역,105098,528028,37.3467062,127.9289685
EM,환경기준(수동),WJ,강원원주시,A14213035,메이드가요주점(구 비원노래방),강원특별자치도 원주시 단계동,다,상업지역,105295,528118,37.3475358,127.9311794
EM,환경기준(수동),WJ,강원원주시,A14213036,세종통신앞(정도케미칼),강원특별자치도 원주시 우산동,라,일반공업지역,106331,531339,37.3766567,127.9424562
